EEBO,Author
99839408,"Hall
99839417,"Hall
99839419,"Hall
99839421,"Hall
99839386,"Hall
23742112,"Hall
99851810,"Hall
99854208,"Hall
99839403,"Hall
24528661,"Hall
99854218,"Hall
99835823,"Hall
99839443,"Hall
99853782,"Hall
99839458,"Hall
99852822,"Hall
99839502,"Hall
99839503,"Hall
99856122,"Hall
99841752,"Azpilcueta
99851811,"Hall
99836260,"Adams
99836426,"Bale
99854226,"Hall
99839454,"Hall
24529408,"Hall
99839498,"Hall
99857232,"Hall
99839406,"Hall
99850382,"Hall
99839501,"Hall
99841862,"Hall
99848350,"Hall
99841694,"Hamilton
23436923,"Bale
99845153,"Hamilton
99854962,Catholic Church. Diocese of St. Andrews. Archbishop (1546-1571 : Hamilton)
99854962,Hamilton
99841718,"Hamilton
99839518,"Hamond
99841722,"Hamor
24171043,"Hampton
99855694,"Hampton
24529874,"Hampton
99839520,"Hampton
99839564,"Hampton
99855695,"Hampton
99839565,"Hannapes
99839568,"Hanmer
27316083,"Campion
99839481,"Hanmer
99839482,"Hannay
99839484,"Hannay
99846289,"Bale
99836431,"Bale
99853789,"Hanson
99854965,"Hervey of Kidbrooke
99839573,"Herbert
99839579,"Harcourt
23742403,"Harding
99836444,"Bale
99850387,"Harding
99839517,"Hardyng
99855836,"Haren
99852532,"Harflete
99839594,"Harington
23742836,"Harington
99839597,"Harington
99839604,"Harington
99839522,Misodiaboles.
99839522,Harington
99842143,"Hariot
99841730,"Harman
99846138,"Bale
99854967,"Harpsfield
99853955,"Harrington
99857603,"Coverdale
99839532,"Harris
99852114,"Harris
99854229,"Harris
99851747,"Harris
99851815,"Harris
99855873,"Harris
99841667,"Harris
99854053,"R. S.
99851547,"R. S.
99839563,"Harrison
99851748,"Harrison
99856376,"Harrison
99851822,"Harrison
99847742,"Harrison
99857174,"Harrison
99852542,"Harrison
99852544,"Harrison
99846359,"Bale
99848262,"Harrison
99839621,"Harrison
99850117,"Harsnett
99849788,"Harsnett
99840196,"Bale
99856115,"Harsnett
99839569,"Harsnett
99836822,Church of England. Province of York. Archbishop (1628-1631 : Harsnett)
99836822,Harsnett
99839623,"Hart
99855006,"Hart
99839587,"Hart
99853956,"Hart
99839636,"Harvey
99846141,"Bale
99841861,"Harvey
99839641,"Harvey
99841742,"Harvey
99850888,"Harvey
99839646,"Harvey
99839614,"Harvey
99847810,"Harward
99839664,"Harward
99836456,"Bale
99839599,"Harward
99847812,"Harward
99841847,"Hasleton
99847817,"Haslop
99853636,"Hastings
99854979,"Hastings
99853958,"Hastler
99841758,"Haughton
99839617,"Seneca
99849609,"Bale
99845047,"Hawes
99847452,"Hawes
99841750,"Hawes
99845155,"Hawes
99839675,"Hawkins
99839628,"Hawkins
99846363,"Bale
99855022,"Hawkins
99841841,"Hawkins
99835791,"Hay
99846740,"Hay
99853638,"Hay
99839681,"Hay
99841806,"Hayman
99839682,"Hayne
99839647,"Hayne
24177566,"Hayward
99839684,"Hayward
99839685,"Hayward
99839648,"Hayward
24556410,"Hayward
24556941,"Hayward
99839650,"Hayward
99900299,"Hayward
99839658,"Hayward
99851808,"Hayward
24558192,"Hayward
99836417,"Bale
99839688,"Hayward
99847826,"Hedlambe
99845055,"Hegendorph
99848673,"Hegendorph
99836459,"Bale
99850400,"Heinsius
99836437,"Bale
99841786,"Heliodorus
99853961,"Lisle
24561350,"Rowlands
99844817,"Bale
99854988,"Helwys
33150994,"Basse
99845157,"Shepherd
99852564,"Helwys
99853515,"Helwys
99838490,"Hemmingsen
99853639,"Hemmingsen
99839683,"Hemmingsen
38160725,"Hemmingsen
99851809,"Hemmingsen
99839705,"Hemmingsen
99846737,"Skelton
99836463,"Bale
34382577,France.
34382577,Henry II
99850902,France. Sovereign (1574-1589 : Henry III)
99850902,Golding
99854997,France. Sovereign (1574-1589 : Henry III)
99854997,Aggas
99844224,France. Sovereign (1574-1589 : Henry III)
99844224,Aggas
99847849,France. Sovereign (1574-1589 : Henry III)
99839695,France. Sovereign (1574-1589 : Henry III)
99839695,Henry III
99847850,France. Sovereign (1574-1589 : Henry III)
99836268,"Adams
99857129,France. Parlement (Paris)
99857129,Aggas
99848808,Navarre (Kingdom). Sovereign (1572-1610 : Henry III)
99848808,Aggas
99853142,"Henry IV
99848832,Navarre (Kingdom). Sovereign (1572-1610 : Henry III)
99848832,Henry IV
99847854,Navarre (Kingdom). Sovereign (1572-1610 : Henry III)
99847854,G. R.
99851849,"Henry IV
99844226,France. Sovereign (1589-1610 : Henry IV)
99844226,Aggas
99847861,France. Sovereign (1589-1610 : Henry IV)
99847861,Aggas
99844229,France. Sovereign (1589-1610 : Henry IV)
99852296,"Ballista
99850143,"French gentleman
99857379,"Ball
99857579,"Aggas
99841819,"Loiseau de Tourval
99855023,"Henry
99839723,"Munday
99857431,"Daniel
99853336,"Henryson
99850404,"Henryson
24561761,"Henshaw
33143227,"Henshaw
99848033,"Copland
99842265,"Caxton
23749942,"Herbert of Cherbury
99843025,"Herbert
99839732,"Herbert
99857500,"Herbert
99854894,"Herbert
99855696,"Hercusanus
99855002,"Hercusanus
99839716,"Heresbach
99847898,"Wied
99839734,"Hearne
99839743,Herodian.
99839743,Smyth
99841822,Herodotus.
99841822,B. R.
99850407,"Doetecam
99839744,"Herring
99854241,"Herring
99839746,"Herring
99851884,"Herring
99839747,Hesiod.
99839747,Chapman
99852825,"Hester
99845393,"Hayton
99844635,"Hewat
99853998,"Hexham
99839748,"Hexham
99839749,"Hexham
99839751,"Heylyn
99855034,"Heylyn
99839760,"Heylyn
99839764,"Heylyn
99839779,"Heylyn
34382492,"Heywood
34382518,"Heywood
99853338,"Heywood
99841829,"Heywood
99854345,"Heywood
99852827,"Heywood
99852828,"Heywood
99842155,"Heywood
99845405,"Heywood
99847456,"Heywood
99850156,"Heywood
99841831,"Heywood
99841838,"Heywood
99839794,"Heywood
99839773,"Heywood
99839795,"Heywood
99839796,"Heywood
99839798,"Heywood
99839774,"Heywood
99841835,"Heywood
99839776,"Heywood
99855715,"Heywood
38160624,"Heywood
99841840,"Heywood
99839778,"Heywood
99854908,"Heywood
99857466,"Heywood
99841834,"Heywood
99850074,"Ballard
99841921,"Heywood
99839789,"Heywood
99841924,"Heywood
99841929,"Heywood
99841930,"Heywood
99841931,"Heywood
99850950,"Balmford
99839804,"Heywood
99841932,"Heywood
99841870,"Heywood
99853520,"Heywood
99839808,"Heywood
99839809,"Heywood
99839810,"Heywood
99839811,"Heywood
99836493,"Balmford
99841926,"Heywood
99839814,"Heywood
99854936,"Heywood
99841937,"Heywood
99839816,"Heywood
99839817,"Heywood
99853521,"Heywood
99839820,"Heywood
99836597,"Balmford
99854247,"Hieron
99836600,"Balnaves
99851496,"Hieron
99851246,"Hieron
99854258,"Hieron
99840209,"Banchieri
99854629,"Brunschwig
99845435,"Brunschwig
99842300,"Higden
99836496,"Bancroft
99852551,"Higins
99841873,"Higgins
23751970,"Higgins
99841899,"Higginson
99853349,"Higgons
99839836,"Hilarie
99839839,"Hildersam
99854637,"Hildersam
24570686,"Hildersam
99839841,"Hill
99843906,"Bancroft
99841939,"Hill
33143289,"Hill
99852829,"Hill
99853989,"Hill
99855542,"Hill
99836275,"Adamson
99839864,"Hill
99839867,"Hind
99841941,"Hind
99854000,"Meslier
99836497,"Bancroft
38160809,Hippocrates.
38160809,Grapheus
99839847,"Calvi
99857434,"Marston
99850135,"Bancroft
99839869,"Hitchcock
99836498,"Bancroft
99839858,"Hodson
99841948,"Huggarde
99841949,"Huggarde
